speakercode,sentencecode,gender,label,F1,F2,Lang,level,tStart,tEnd,dur
hen001,p01_018_f1_r1,m,uw,303.370235628483,1065.9939277547653,L1,null,2.4,2.74,0.3400000000000003
hen001,p01_018_f1_r1,m,uw,128.19834604851587,994.8930781183666,L1,null,3.37,3.4,0.029999999999999805
hen001,p01_018_f1_r1,m,ih,265.3601483823951,840.1901878560402,L1,null,3.46,3.49,0.03000000000000025
hen001,p01_018_f1_r1,m,ax,406.5702567963405,1823.5660427262014,L1,null,3.62,3.65,0.029999999999999805
hen001,p01_018_f1_r1,m,ih,446.8471564198423,1193.234872854156,L1,null,3.88,3.91,0.03000000000000025
hen001,p01_018_f1_r1,m,aa,604.1464165634116,989.6152573377897,L1,null,4.09,4.12,0.03000000000000025
hen001,p01_018_f1_r1,m,uw,361.1790968413513,889.3493268083187,L1,null,4.27,4.3,0.03000000000000025
hen001,p01_018_f1_r1,m,eh,513.0558899310261,1428.5706412803163,L1,null,4.39,4.53,0.14000000000000057
hen001,p01_018_f1_r1,m,iy,556.8664819305875,1880.3832687043935,L1,null,4.6,4.81,0.20999999999999996
hen001,p01_018_f1_r1,m,sil,509.9923895799945,1592.1553004627974,L1,null,4.81,5.3,0.4900000000000002
hen001,p01_019_f1_r1,m,sil,594.1152285703735,1677.3293209540677,L1,null,0,0.62,0.62
hen001,p01_019_f1_r1,m,ay,854.9129647557031,1627.8391728493555,L1,null,0.62,0.67,0.050000000000000044
hen001,p01_019_f1_r1,m,eh,661.5474740590162,1511.901615056862,L1,null,1.15,1.19,0.040000000000000036
hen001,p01_019_f1_r1,m,uw,183.8319256032731,1190.453408451142,L1,null,1.43,1.46,0.030000000000000027
hen001,p01_019_f1_r1,m,ax,440.7910167867105,1360.3002841891607,L1,null,1.49,1.52,0.030000000000000027
hen001,p01_019_f1_r1,m,aa,635.2841172964868,1224.8673980857507,L1,null,1.66,1.72,0.06000000000000005
hen001,p01_019_f1_r1,m,ih,400.89497808415024,1243.3588169319444,L1,null,2,2.03,0.029999999999999805
hen001,p01_019_f1_r1,m,ay,567.0584688896514,1191.0394805487574,L1,null,2.14,2.21,0.06999999999999984
hen001,p01_019_f1_r1,m,eh,571.0463786083085,1409.120922684611,L1,null,2.43,2.53,0.09999999999999965
hen001,p01_019_f1_r1,m,ih,359.676378683182,1382.528960857784,L1,null,3.35,3.38,0.029999999999999805
hen001,p01_019_f1_r1,m,uw,364.37623215224414,824.5813004396239,L1,null,3.58,3.65,0.06999999999999984
hen001,p01_019_f1_r1,m,ih,327.7975529907486,1882.7780090635981,L1,null,3.77,3.8,0.029999999999999805
hen001,p01_019_f1_r1,m,uw,260.5994979512524,1585.4899717054875,L1,null,3.91,3.94,0.029999999999999805
hen001,p01_019_f1_r1,m,ow,425.14324092060536,914.9455148681333,L1,null,4.03,4.1,0.0699999999999994
hen001,p01_019_f1_r1,m,uw,360.5213790978928,1533.8633020276318,L1,null,4.2,4.23,0.03000000000000025
hen001,p01_019_f1_r1,m,ax,398.89429410801455,1445.629427827644,L1,null,4.29,4.32,0.03000000000000025
hen001,p01_019_f1_r1,m,aa,633.2707125267981,1227.315329551321,L1,null,4.43,4.5,0.07000000000000028
hen001,p01_019_f1_r1,m,sil,554.001315974827,1703.9950243825576,L1,null,4.92,5.46,0.54
hen001,p01_020_f1_r1,m,sil,615.784966504314,1700.9669208707446,L1,null,0,1.55,1.55
hen001,p01_020_f1_r1,m,ax,496.9035160692665,1021.0792906382104,L1,null,1.65,1.68,0.030000000000000027
hen001,p01_020_f1_r1,m,ih,248.78069798433174,1935.0959897491016,L1,null,2.02,2.05,0.029999999999999805
hen001,p01_020_f1_r1,m,uw,610.0868704356808,1648.3674950220288,L1,null,2.89,2.95,0.06000000000000005
hen001,p01_020_f1_r1,m,uw,560.5758813211837,1410.201373107598,L1,null,3.12,3.15,0.029999999999999805
hen001,p01_020_f1_r1,m,ax,460.992979050327,1103.8055998717302,L1,null,3.34,3.38,0.040000000000000036
hen001,p01_020_f1_r1,m,ih,537.8976110712015,1540.7754183104846,L1,null,3.56,3.63,0.06999999999999984
hen001,p01_020_f1_r1,m,ay,348.79424378298353,1702.7594119798785,L1,null,3.8,3.83,0.03000000000000025
hen001,p01_020_f1_r1,m,uw,281.98883749057796,903.4712812367922,L1,null,3.89,4.01,0.11999999999999966
hen001,p01_020_f1_r1,m,ay,254.5904616876312,772.1667033140119,L1,null,4.01,4.04,0.03000000000000025
hen001,p01_020_f1_r1,m,aa,632.6309894877786,1142.9008912248876,L1,null,4.79,4.82,0.03000000000000025
hen001,p01_020_f1_r1,m,ao,532.8503131419606,892.7412788624854,L1,null,4.99,5.14,0.14999999999999947
hen001,p01_020_f1_r1,m,ax,418.1001162872221,1147.7420879726208,L1,null,5.24,5.27,0.02999999999999936
hen001,p01_020_f1_r1,m,eh,542.1789700010036,1421.8546202966793,L1,null,5.36,5.39,0.02999999999999936
hen001,p01_020_f1_r1,m,aa,628.2335352886498,1259.6372001864909,L1,null,5.58,5.68,0.09999999999999965
hen001,p01_020_f1_r1,m,ey,425.8805257935796,2066.4817954817227,L1,null,5.94,6.01,0.0699999999999994
hen001,p01_020_f1_r1,m,ae,618.1704604798274,1397.991696226289,L1,null,6.25,6.37,0.1200000000000001
hen001,p01_020_f1_r1,m,ih,337.05202933200866,1869.05320061733,L1,null,6.62,6.65,0.03000000000000025
hen001,p01_020_f1_r1,m,sil,506.69707876041645,1511.8459579127182,L1,null,6.77,7.57,0.8000000000000007
hen001,p01_021_f1_r1,m,sil,765.2082172661108,1921.6274691085587,L1,null,0,1.15,1.15
hen001,p01_021_f1_r1,m,uw,327.5026398691023,683.8883042382706,L1,null,1.36,1.39,0.029999999999999805
hen001,p01_021_f1_r1,m,aa,395.4344935917509,760.2014203773706,L1,null,1.39,1.48,0.09000000000000008
hen001,p01_021_f1_r1,m,uw,278.12379645297375,1939.3643444717843,L1,null,1.59,1.62,0.030000000000000027
hen001,p01_021_f1_r1,m,ow,442.0259949495377,929.2661947826562,L1,null,1.72,1.84,0.1200000000000001
hen001,p01_021_f1_r1,m,ih,393.12877898503564,882.519787501001,L1,null,1.84,1.87,0.030000000000000027
hen001,p01_021_f1_r1,m,uw,123.11540713863866,1792.0855443381017,L1,null,1.96,1.99,0.030000000000000027
hen001,p01_021_f1_r1,m,ax,344.6738931748119,1262.3526604203116,L1,null,2.04,2.08,0.040000000000000036
hen001,p01_021_f1_r1,m,uw,343.866125221283,832.8312792555136,L1,null,2.16,2.2,0.040000000000000036
hen001,p01_021_f1_r1,m,iy,292.527515616804,1944.9149964445985,L1,null,2.32,2.37,0.050000000000000266
hen001,p01_021_f1_r1,m,ih,492.079513692956,1334.1031003668809,L1,null,2.57,2.64,0.07000000000000028
hen001,p01_021_f1_r1,m,uw,305.66259185622766,842.136107128404,L1,null,3.58,3.61,0.029999999999999805
hen001,p01_021_f1_r1,m,ae,317.96646483097874,726.0052310885185,L1,null,3.61,3.64,0.03000000000000025
hen001,p01_021_f1_r1,m,ay,547.6701124477811,1210.6294472770192,L1,null,3.69,3.78,0.08999999999999986
hen001,p01_021_f1_r1,m,ow,433.6409855308768,926.758513131334,L1,null,3.87,3.95,0.08000000000000007
hen001,p01_021_f1_r1,m,ih,424.2096369126407,1311.796784844263,L1,null,3.95,3.98,0.029999999999999805
hen001,p01_021_f1_r1,m,uw,235.27624799707252,1501.0871302394637,L1,null,4.07,4.11,0.040000000000000036
hen001,p01_021_f1_r1,m,ax,344.47499417780944,1271.4003843638034,L1,null,4.15,4.18,0.02999999999999936
hen001,p01_021_f1_r1,m,uw,296.11466841327587,798.5547453013325,L1,null,4.27,4.32,0.05000000000000071
hen001,p01_021_f1_r1,m,iy,300.8128947229048,1290.16761509193,L1,null,4.42,4.45,0.03000000000000025
hen001,p01_021_f1_r1,m,ih,491.2721838187863,1243.692725887571,L1,null,4.65,4.69,0.040000000000000036
